Index,Load_AESO_2032.dat,Load_AVA_2032.dat,Load_AZPS_2032.dat,Load_BANC_2032.dat,Load_BCHA_2032.dat,Load_BPAT_2032.dat,Load_CFE_2032.dat,Load_CHPD_2032.dat,Load_CIPB_2032.dat,Load_CIPV_2032.dat,Load_CISC_2032.dat,Load_CISD_2032.dat,Load_DOPD_2032.dat,Load_EPE_2032.dat,Load_GCPD_2032.dat,Load_IID_2032.dat,Load_IPFE_2032.dat,Load_IPMV_2032.dat,Load_IPTV_2032.dat,Load_LDWP_2032.dat,Load_NEVP_2032.dat,Load_NWMT_2032.dat,Load_PACW_2032.dat,Load_PAID_2032.dat,Load_PAUT_2032.dat,Load_PAWY_2032.dat,Load_PGE_2032.dat,Load_PNM_2032.dat,Load_PSCO_2032.dat,Load_PSEI_2032.dat,Load_SCL_2032.dat,Load_SPPC_2032.dat,Load_SRP_2032.dat,Load_TEPC_2032.dat,Load_TH_Malin_2032.dat,Load_TH_Mead_2032.dat,Load_TH_PV_2032.dat,Load_TIDC_2032.dat,Load_TPWR_2032.dat,Load_VEA_2032.dat,Load_WACM_2032.dat,Load_WALC_2032.dat,Load_WAUW_2032.dat
5496,10064.0,1672.21,9483.93,3623.49,6871.0,7297.84,4346.0,203.2,8347.917441212368,11409.378146105882,19740.566293848886,3797.5496175455064,277.84,2412.87,1239.65,1127.88,443.434126342604,1058.077927214357,2209.057946443039,5702.78,4940.707735849056,1800.31,3178.13,1130.368544631582,6223.28835847326,1594.9130968951574,3282.08,2650.83,8586.4,3201.24,1133.65,2136.522264150943,10353.33,3981.43,0.0,0.0,0.0,642.0,494.36,133.11850128735367,3893.82,1561.01,137.78
5497,9907.0,1744.44,9537.47,3755.22,6406.0,7571.8,4265.0,219.89,8736.532590997524,11940.511477074771,20659.53598672761,3974.334465243362,303.49,2273.53,1266.29,1113.36,477.21120680988355,1138.6734005103374,2377.325392679779,5661.44,4736.87962264151,1823.82,3237.32,1139.6984175281998,6274.654339647553,1608.0772428242474,3470.18,2624.52,8433.03,3292.5,1124.04,2048.3803773584905,10349.1,3977.04,0.0,0.0,0.0,639.71,500.67,139.31547995673628,3832.77,1524.01,146.11
5498,9822.0,1740.42,9586.43,3860.25,6100.0,7638.53,4125.0,218.22,8877.769603143804,12133.54482834484,20993.523310039458,4038.584568965218,302.7,2203.45,1252.79,1110.48,476.3053538876433,1136.5119453462291,2372.8127007661274,5559.26,4746.178490566037,1830.73,3251.74,1124.8964339643535,6193.161438564374,1587.192127471272,3446.55,2558.03,8429.43,3268.3,1128.17,2052.401509433962,10388.79,3977.46,0.0,0.0,0.0,651.18,498.92,141.5676895066772,3862.62,1561.06,144.58
5499,9793.0,1656.69,9488.83,3773.82,5921.0,7590.32,4030.0,210.74,8759.445449410932,11971.827247491496,20713.71869800581,3984.7577495316264,298.16,2081.82,1226.13,1095.12,480.01361459702514,1145.3602242040492,2391.286161198925,5350.63,4765.432452830189,1776.45,3136.08,1088.9651809797476,5995.34051594012,1536.4943030801314,3342.94,2519.46,8312.57,3236.16,1097.46,2060.7275471698113,10269.36,3842.35,0.0,0.0,0.0,640.53,493.51,139.6808555601346,3839.53,1569.16,141.01
5500,9754.0,1592.31,9162.54,3603.04,5819.0,7452.77,3967.0,204.01,8504.639854984358,11623.575914026718,20111.17240256822,3868.8441825279547,285.69,1993.85,1194.41,1013.0,473.6308171594459,1130.1302347165802,2359.488948123974,5001.95,4662.160566037735,1730.27,3061.99,1061.8774752669024,5846.208089687546,1498.274435045552,3225.46,2503.09,8051.24,3214.8,1079.42,2016.069433962264,9981.99,3566.78,0.0,0.0,0.0,624.73,495.7,135.61764589274566,3788.21,1505.27,137.57
5501,9893.0,1545.19,8870.81,3370.24,5860.0,7325.22,3911.0,193.66,8309.795980805091,11357.276270358863,19650.41935340683,3780.2077908672463,276.52,1913.91,1174.34,951.07,458.74160666051307,1094.6030976590291,2285.3152956804574,4833.33,4472.755471698113,1688.02,2968.62,1038.5262661730926,5717.647092126218,1465.3266417006892,3104.38,2353.53,7428.15,3201.73,1063.26,1934.1645283018868,9536.67,3314.36,0.0,0.0,0.0,594.61,493.19,132.5106045619681,3624.22,1448.72,132.77
5502,10074.0,1417.04,8261.78,3041.09,6122.0,6939.84,3887.0,182.65,7726.850189491374,10560.54474796216,18271.910267735115,3515.0200260812467,263.81,1748.79,1143.72,866.01,433.25582906197064,1033.791497619754,2158.3526733182753,4484.93,4242.803962264151,1596.34,2814.3,993.795677337168,5471.381080839614,1402.213241823218,2927.68,2184.59,6851.07,3082.44,1030.99,1834.7260377358489,8813.59,3007.11,0.0,0.0,0.0,565.37,467.65,123.21476873010553,3459.83,1396.58,126.95
5503,10284.0,1304.85,7612.93,2750.57,6590.0,6511.12,3861.0,171.2,7167.589988896619,9796.185115085158,16949.411196188397,3260.6070690972597,245.86,1609.27,1116.38,797.67,407.77244157667946,972.9856006284049,2031.4019577949152,4154.11,4007.309433962264,1514.26,2631.0,941.5895688962901,5183.9583031585535,1328.552127945157,2674.24,2031.6,6399.87,2852.72,956.8,1732.8905660377357,8071.25,2758.38,0.0,0.0,0.0,516.62,437.89,114.29663073256125,3308.97,1345.05,123.06
5504,10511.0,1190.73,7025.32,2478.56,7164.0,6085.22,3873.0,159.64,6635.969384872873,9069.601443854308,15692.272292885751,3018.767636004293,231.61,1496.18,1092.8,741.1,379.04806052263433,904.4463706488485,1888.3055688285172,3819.53,3770.0556603773584,1429.7,2446.48,892.5717354609719,4914.088698573066,1259.3895659659618,2424.85,1895.51,6003.43,2615.39,882.4,1630.2943396226415,7385.72,2532.64,0.0,0.0,0.0,473.63,407.07,105.8192423827741,3177.86,1296.7,118.61
5505,10718.0,1079.59,6495.44,2232.79,7498.0,5686.32,4032.0,149.12,6147.606412202765,8402.139425094761,14537.425984768062,2796.606524188432,218.59,1411.09,1072.26,687.72,356.8917106831437,851.5791163710578,1777.9291729457984,3518.82,3523.8939622641506,1350.38,2262.4,863.1585090328986,4752.153026809812,1217.8884641572888,2195.79,1809.93,5706.16,2420.29,816.05,1523.846037735849,6759.8,2339.6,0.0,0.0,0.0,439.82,377.08,98.0316537459799,3090.22,1249.81,113.7
